Cycle,Plane (x or y),Landmark 1 - 2,Landmark 2 - 3,Landmark 3 - 4,Landmark 4 - 5,Landmark 5 - 6,Landmark 6 - 7,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22
1,x,104,85,79,-258,43,18,14,-157,6,2,1,-85,-5,0,-2,-66,-38,-25,-19,177
1,y,91,61,32,98,126,72,64,-243,137,78,63,-296,131,79,67,-323,94,58,55,-499
2,x,106,88,85,-263,41,21,16,-158,4,-2,0,-78,-8,-3,3,-64,-39,-27,-21,180
2,y,101,66,21,105,122,75,66,-244,136,79,69,-299,129,77,73,-320,86,56,57,-499
3,x,107,87,83,-260,42,20,16,-157,5,-2,0,-80,-6,-2,4,-67,-40,-28,-21,181
3,y,102,65,21,108,123,74,66,-244,138,82,68,-302,130,76,70,-315,84,56,56,-502
4,x,108,87,84,-261,41,21,15,-157,5,-2,1,-82,-5,-1,4,-69,-40,-27,-20,181
4,y,104,65,21,110,121,75,65,-242,137,81,68,-301,129,77,71,-316,84,56,56,-502
5,x,107,87,83,-262,41,21,15,-157,4,-1,1,-81,-6,-2,4,-67,-40,-27,-20,179
5,y,103,66,20,109,121,74,66,-242,137,81,68,-300,130,75,71,-316,85,55,56,-502
6,x,108,87,84,-263,42,20,16,-158,4,-1,1,-81,-7,-1,4,-67,-41,-26,-21,181
6,y,104,64,19,111,122,74,65,-242,137,81,68,-300,129,76,71,-317,85,56,56,-501
7,x,108,88,84,-264,41,20,15,-156,5,-1,0,-81,-7,-1,4,-68,-40,-26,-21,180
7,y,103,65,20,109,123,74,66,-244,137,81,69,-302,130,75,71,-316,85,56,56,-502
8,x,108,88,84,-263,41,20,15,-156,5,-1,0,-81,-7,-1,4,-68,-40,-27,-20,180
8,y,103,65,20,109,122,74,66,-243,137,81,69,-302,130,76,70,-316,85,56,56,-501
9,x,107,87,85,-264,41,20,15,-156,5,-1,1,-82,-6,-2,5,-69,-40,-26,-20,179
9,y,103,65,21,109,122,74,66,-244,137,81,69,-302,130,75,70,-315,85,56,56,-501
10,x,107,88,84,-263,41,19,15,-155,5,-1,0,-81,-7,-2,4,-67,-40,-26,-21,180
10,y,104,65,21,108,122,75,66,-245,137,82,68,-302,129,76,70,-315,85,55,56,-500
11,x,107,87,84,-263,41,20,15,-156,5,-1,1,-83,-6,-1,4,-68,-40,-26,-20,181
11,y,104,65,21,108,122,75,66,-245,137,81,69,-302,130,75,70,-315,85,55,57,-501
12,x,106,86,85,-262,40,20,15,-156,5,-1,1,-81,-7,-2,4,-67,-39,-26,-21,181
12,y,103,65,21,107,123,74,66,-245,138,81,69,-303,130,76,71,-316,85,56,56,-500
13,x,106,87,85,-263,40,20,15,-155,5,-2,2,-82,-7,-2,5,-67,-40,-26,-21,181
13,y,103,66,21,107,122,75,66,-245,137,81,70,-303,129,76,70,-315,85,56,56,-500
14,x,106,87,85,-263,40,20,15,-155,4,-1,0,-80,-7,-2,4,-66,-40,-27,-20,181
14,y,104,65,22,106,123,74,66,-245,137,81,69,-302,130,75,71,-316,86,55,56,-500
15,x,106,87,84,-263,41,20,14,-155,5,-2,1,-80,-7,-2,4,-66,-39,-27,-21,181
