Cycle,Plane,Landmark #1,Landmark #2,Landmark #3,Landmark #4,Landmark #5,Landmark #6,Landmark #7,Landmark #8,Landmark #9,Landmark #10,Landmark #11,Landmark #12,Landmark #13,Landmark #14,Landmark #15,Landmark #16,Landmark #17,Landmark #18,Landmark #19,Landmark #20,Correct?
1,x,104,85,79,-258,43,18,14,-157,6,2,1,-85,-5,0,-2,-66,-38,-25,-19,177,Yes
1,y,91,61,32,98,126,72,64,-243,137,78,63,-296,131,79,67,-323,94,58,55,-499,Yes
2,x,106,88,85,-263,41,21,16,-158,4,-2,0,-78,-8,-3,3,-64,-39,-27,-21,180,Yes
2,y,101,66,21,105,122,75,66,-244,136,79,69,-299,129,77,73,-320,86,56,57,-499,Yes
3,x,107,87,83,-260,42,20,16,-157,5,-2,0,-80,-6,-2,4,-67,-40,-28,-21,181,Yes
3,y,102,65,21,108,123,74,66,-244,138,82,68,-302,130,76,70,-315,84,56,56,-502,Yes
4,x,108,87,84,-261,41,21,15,-157,5,-2,1,-82,-5,-1,4,-69,-40,-27,-20,181,Yes
4,y,104,65,21,110,121,75,65,-242,137,81,68,-301,129,77,71,-316,84,56,56,-502,Yes
5,x,107,87,83,-262,41,21,15,-157,4,-1,1,-81,-6,-2,4,-67,-40,-27,-20,179,Yes
5,y,103,66,20,109,121,74,66,-242,137,81,68,-300,130,75,71,-316,85,55,56,-502,Yes
6,x,108,87,84,-263,42,20,16,-158,4,-1,1,-81,-7,-1,4,-67,-41,-26,-21,181,Yes
6,y,104,64,19,111,122,74,65,-242,137,81,68,-300,129,76,71,-317,85,56,56,-501,Yes
7,x,108,88,84,-264,41,20,15,-156,5,-1,0,-81,-7,-1,4,-68,-40,-26,-21,180,Yes
7,y,103,65,20,109,123,74,66,-244,137,81,69,-302,130,75,71,-316,85,56,56,-502,Yes
8,x,108,88,84,-263,41,20,15,-156,5,-1,0,-81,-7,-1,4,-68,-40,-27,-20,180,Yes
8,y,103,65,20,109,122,74,66,-243,137,81,69,-302,130,76,70,-316,85,56,56,-501,Yes
9,x,107,87,85,-264,41,20,15,-156,5,-1,1,-82,-6,-2,5,-69,-40,-26,-20,179,Yes
9,y,103,65,21,109,122,74,66,-244,137,81,69,-302,130,75,70,-315,85,56,56,-501,Yes
10,x,107,88,84,-263,41,19,15,-155,5,-1,0,-81,-7,-2,4,-67,-40,-26,-21,180,Yes
10,y,104,65,21,108,122,75,66,-245,137,82,68,-302,129,76,70,-315,85,55,56,-500,Yes
11,x,107,87,84,-263,41,20,15,-156,5,-1,1,-83,-6,-1,4,-68,-40,-26,-20,181,Yes
