i,j,x,y
1,1,1396,987
1,2,1456,979
1,3,1541,985
1,4,1598,1009
1,5,1642,1031
1,6,1588,947
1,7,1680,998
1,8,1742,1045
1,9,1787,1090
1,10,1582,946
1,11,1677,995
1,12,1738,1042
1,13,1788,1088
1,14,1566,957
1,15,1660,995
1,16,1717,1034
1,17,1761,1076
1,18,1544,979
1,19,1615,1003
1,20,1662,1028
1,21,1700,1055
2,1,1883,1017
2,2,1739,1032
2,3,1584,962
2,4,1476,886
2,5,1382,853
2,6,1600,780
2,7,1505,680
2,8,1441,623
2,9,1382,580
2,10,1666,728
2,11,1570,610
2,12,1499,544
2,13,1433,496
2,14,1746,708
2,15,1659,588
2,16,1590,525
2,17,1523,483
2,18,1838,714
2,19,1801,609
2,20,1758,550
2,21,1707,507
3,1,1918,978
3,2,1762,986
3,3,1611,906
3,4,1507,826
3,5,1415,790
3,6,1620,725
3,7,1518,628
3,8,1450,573
3,9,1387,526
3,10,1687,675
3,11,1597,542
3,12,1534,462
3,13,1479,393
3,14,1771,656
3,15,1700,524
3,16,1640,442
3,17,1581,371
3,18,1868,664
3,19,1852,549
3,20,1825,473
3,21,1792,406
4,1,1939,954
4,2,1775,948
4,3,1622,857
4,4,1518,770
4,5,1426,736
4,6,1650,684
4,7,1555,578
4,8,1496,512
4,9,1444,452
4,10,1721,626
4,11,1642,487
4,12,1584,402
4,13,1534,329
4,14,1803,601
4,15,1744,460
4,16,1690,376
4,17,1639,302
4,18,1894,605
4,19,1891,493
4,20,1877,414
4,21,1861,342
5,1,1974,920
5,2,1812,920
5,3,1658,833
5,4,1559,741
5,5,1462,698
5,6,1664,646
5,7,1575,527
5,8,1521,450
5,9,1475,379
5,10,1744,587
5,11,1671,440
5,12,1619,348
5,13,1574,269
5,14,1834,567
5,15,1785,420
5,16,1738,330
5,17,1692,252
5,18,1932,577
5,19,1933,460
5,20,1931,380
5,21,1923,310
6,1,1967,899
6,2,1806,890
6,3,1655,800
6,4,1555,714
6,5,1459,667
6,6,1672,618
6,7,1589,493
6,8,1540,413
6,9,1496,338
6,10,1753,557
6,11,1689,406
6,12,1639,310
6,13,1593,227
6,14,1838,534
6,15,1801,385
6,16,1757,291
6,17,1712,213
6,18,1924,540
